TimeStamp;NodeID;NodeCount;Schema;SF;WorkerCount;Item name;CPU ns;USER ns;BLOCKED#;BLOCKED ns;WAITED#;WAITED ns;SUMM all times;Running %;Running total%;Comment
1769365281987;1;1;tpc-di;10000.0;12;ALL#SCHEDULERS;89185736000;63906647000;0;0;2777518;4296274000000;4385459736000;2.034;850.631;
1769365281987;1;1;tpc-di;10000.0;12;ALL#pdgf.util.caching.experimental.BucketSortOutputFileWriterIMPL$HouseKeeper;4335081000;1043673000;2;4000000;169101;35374000000;39713081000;10.916;42.298;
1769365281987;1;1;tpc-di;10000.0;12;ALL#worker#0;4592799000;4407380000;8;5000000;14115;3143000000;7740799000;59.332;44.753;
1769365281987;1;1;tpc-di;10000.0;12;ALL#worker#1;4372653000;4191303000;7;2000000;14084;3369000000;7743653000;56.468;42.656;
1769365281987;1;1;tpc-di;10000.0;12;ALL#worker#10;4333770000;4173026000;10;8000000;11594;3493000000;7834770000;55.315;42.286;
1769365281987;1;1;tpc-di;10000.0;12;ALL#worker#11;4420605000;4248460000;8;2000000;11323;3414000000;7836605000;56.41;43.113;
1769365281987;1;1;tpc-di;10000.0;12;ALL#worker#2;4320353000;4146242000;8;2000000;13731;3450000000;7772353000;55.586;42.158;
1769365281987;1;1;tpc-di;10000.0;12;ALL#worker#3;4299827000;4104555000;8;2000000;13125;3376000000;7677827000;56.003;41.962;
1769365281987;1;1;tpc-di;10000.0;12;ALL#worker#4;4358793000;4163254000;14;2000000;12283;3355000000;7715793000;56.492;42.524;
1769365281987;1;1;tpc-di;10000.0;12;ALL#worker#5;4345852000;4162977000;7;0;12430;3400000000;7745852000;56.106;42.401;
1769365281987;1;1;tpc-di;10000.0;12;ALL#worker#6;4247332000;4071947000;8;4000000;12257;3509000000;7760332000;54.731;41.462;
1769365281987;1;1;tpc-di;10000.0;12;ALL#worker#7;4269470000;4086401000;10;6000000;11599;3422000000;7697470000;55.466;41.673;
1769365281987;1;1;tpc-di;10000.0;12;ALL#worker#8;4383004000;4206466000;10;3000000;11893;3427000000;7813004000;56.099;42.755;
1769365281987;1;1;tpc-di;10000.0;12;ALL#worker#9;4376051000;4218841000;10;7000000;11970;3465000000;7848051000;55.76;42.689;
1769365281987;1;1;tpc-di;10000.0;12;All#PausedThread;796139000;453968000;2;1000000;15998;9175000000;9972139000;7.984;8.584;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.CDCUpdateProducer#ALL;273380000;203953000;0;0;1281;15000000;288380000;94.799;3.604;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.CDCUpdateProducer#BatchDate;1404000;1034000;0;0;2;0;1404000;100.0;1.013;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.CDCUpdateProducer#Customer;589000;386000;0;0;0;0;589000;100.0;1.006;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.CDCUpdateProducer#DailyMarket;123286000;86114000;0;0;864;3000000;126286000;97.624;2.174;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.CDCUpdateProducer#WatchHistory;107261000;85259000;0;0;415;12000000;119261000;89.938;2.022;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.scheduler.DbDumpUpdateScheduler#Prospect;3666000;3267000;0;0;6;248000000;251666000;1.457;1.035;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.scheduler.DefaultScheduler#Date;280000;212000;0;0;0;0;280000;100.0;1.003;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.scheduler.DefaultScheduler#HR;393000;284000;0;0;0;0;393000;100.0;1.004;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.scheduler.DefaultScheduler#Industry;267000;226000;0;0;0;0;267000;100.0;1.003;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.scheduler.DefaultScheduler#StatusType;2509000;2096000;0;0;0;0;2509000;100.0;1.024;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.scheduler.DefaultScheduler#TaxRate;180000;192000;0;0;0;0;180000;99.999;1.002;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.scheduler.DefaultScheduler#Time;188000;114000;0;0;0;0;188000;99.999;1.002;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.scheduler.DefaultScheduler#TradeType;161000;96000;0;0;0;0;161000;99.999;1.002;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.scheduler.UpdateScheduler#Account;1413000;1192000;0;0;3;26000000;27413000;5.154;1.013;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.scheduler.UpdateScheduler#BatchDate;804000;565000;0;0;7;20000000;20804000;3.865;1.008;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.scheduler.UpdateScheduler#Customer;2036000;1743000;0;0;3;17000000;19036000;10.696;1.019;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.scheduler.UpdateScheduler#DailyMarket;11648389000;8796891000;0;0;279612;799101000000;810749389000;1.437;111.969;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.scheduler.UpdateScheduler#FINWIRE;2094671000;1759208000;0;0;20706;160413000000;162507671000;1.289;20.955;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.scheduler.UpdateScheduler#TradeSource;72028579000;50839301000;0;0;2365306;3121173000000;3193201579000;2.256;687.183;
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.scheduler.UpdateScheduler#WatchHistory;3265224000;2406785000;0;0;111765;215276000000;218541224000;1.494;32.106;
